,0,1,2,3,4
0,23.12183,21.426712,29.804478,26.525436,28.941317
1,24.386578,21.89624,30.79814,27.556648,27.592459
2,22.052574,19.13976,26.446619,25.533989,24.67817
3,20.015915,16.971123,23.235748,23.365774,22.737566
4,17.391697,15.093744,20.118635,21.93679,20.825422
5,15.407071,14.457656,17.285704,20.328558,19.651525
6,14.502688,13.30196,14.573026,19.251055,18.124996
7,14.0372925,12.154723,12.638352,18.267595,16.854824
8,13.5532675,11.611514,11.266158,17.270164,15.6887665
9,13.752621,11.354017,10.479836,16.784435,15.145735
10,14.036709,10.8473425,9.815992,16.550354,14.338796
11,13.574801,10.532495,9.444186,15.933222,14.035782
12,13.582143,10.488641,8.992079,15.954057,14.047772
13,13.417308,10.240211,9.072406,15.648264,13.855086
14,13.101458,10.177536,8.639349,15.219012,13.323064
15,12.938862,9.931259,8.321237,14.986397,13.184563
16,12.624552,9.647271,7.9756365,14.661036,12.966406
17,12.316046,9.358048,7.6853247,14.297869,12.672461
18,12.140879,8.990799,7.570569,14.106148,12.529102
19,12.015672,9.098123,7.334099,13.95807,12.18433
20,11.96923,8.811455,7.0506296,14.0745535,11.993165
21,11.871196,8.749218,6.788141,13.404374,12.009269
22,11.852163,8.337631,6.5008283,13.508696,11.763035
23,11.846365,8.350103,6.501249,13.406031,11.850647
24,11.780381,8.307073,6.247917,13.198708,11.64602
25,11.838266,8.189183,6.018168,12.9012375,11.388174
26,11.576998,8.040617,5.940053,12.497406,11.251249
27,11.753166,7.9791117,5.8438377,12.668045,11.30944
28,11.566077,8.000613,5.7606936,12.348014,11.198914
29,11.32834,7.860726,5.3586287,12.239554,11.0506
30,11.395766,7.8300066,5.205337,12.189722,11.020117
31,11.410573,7.7259207,5.0525007,12.14843,11.071214
32,11.406197,7.701092,5.0524,11.699122,10.746751
33,11.225292,7.5591235,4.9019713,11.678758,10.948832
34,11.264107,7.6669173,4.8219743,11.841951,11.08172
35,11.147651,7.4674506,4.4745936,11.510575,10.899059
36,11.155076,7.5201654,4.3478355,11.220496,11.11883
