,time [s]
0,3.8991215229034424
1,4.158551931381226
2,4.452260971069336
3,4.7511515617370605
4,4.98282527923584
5,5.235044240951538
6,5.457135438919067
7,5.700146675109863
8,6.023313522338867
9,6.240964412689209
10,6.481843709945679
11,6.71574330329895
12,6.97064733505249
13,7.24682092666626
14,7.516916275024414
15,7.7841479778289795
16,8.066512107849121
17,8.345343589782715
18,8.607446193695068
19,8.87917685508728
20,9.165302991867065
21,9.432823657989502
22,9.683044910430908
23,9.958555936813354
24,10.202103614807129
25,10.447275638580322
26,10.68432092666626
27,10.939693212509155
28,11.173161506652832
29,11.462106227874756
30,11.721563816070557
31,11.98789095878601
32,12.25992488861084
33,12.53093671798706
34,12.833791494369507
35,13.121678829193115
36,13.372589349746704
37,13.673895120620728
38,13.947336912155151
39,14.191509485244751
40,14.454665422439575
41,14.700989246368408
42,14.904027462005615
43,15.131452798843384
44,15.366891145706177
45,15.59386396408081
46,15.827311515808105
47,16.074527740478516
48,16.3230037689209
49,16.541719436645508
50,16.81072974205017
51,17.03457236289978
52,17.27557945251465
53,17.530354022979736
54,17.75874972343445
55,17.970075368881226
56,18.203217267990112
57,18.43993902206421
58,18.663620471954346
59,18.889963626861572
60,19.140307426452637
61,19.384650230407715
62,19.595693111419678
63,19.83769679069519
64,20.06523036956787
65,20.310227870941162
66,20.56796622276306
67,20.792893171310425
68,21.027827739715576
69,21.246145009994507
70,21.520779609680176
71,21.71803903579712
72,21.949546337127686
73,22.15657114982605
74,22.41596007347107
75,22.62161087989807
76,22.85589098930359
77,23.10292077064514
78,23.299418687820435
79,23.544927835464478
80,23.78774356842041
81,24.021122217178345
82,24.25908327102661
83,24.506337642669678
84,24.753573656082153
85,24.98513674736023
86,25.24103856086731
87,25.511542320251465
88,25.73234510421753
89,25.988131999969482
90,26.254247426986694
91,26.502795696258545
92,26.76231598854065
93,26.998243808746338
94,27.23971652984619
95,27.491025686264038
96,27.729575634002686
97,27.96762990951538
98,28.23274850845337
99,28.507385969161987
100,28.752718687057495
101,29.01071262359619
102,29.27440333366394
103,29.501184463500977
104,29.75264883041382
105,30.029475688934326
106,30.27755832672119
107,30.564064502716064
108,30.804473638534546
109,31.055177927017212
110,31.29532241821289
111,31.568671703338623
112,31.80209469795227
113,32.06431460380554
114,32.301509857177734
115,32.56788110733032
116,32.82821035385132
117,33.10027551651001
118,33.36484456062317
119,33.60302972793579
120,33.867154598236084
121,34.09893751144409
122,34.340463638305664
123,34.61965870857239
124,34.83850908279419
125,35.06545305252075
126,35.285542488098145
127,35.501845836639404
128,35.74099087715149
129,35.97924518585205
130,36.192957162857056
131,36.411428689956665
132,36.67340898513794
133,36.88068437576294
134,37.09436917304993
135,37.323004961013794
136,37.578134298324585
137,37.80343413352966
138,38.03028464317322
139,38.260868310928345
140,38.49435472488403
141,38.750850439071655
142,39.02343225479126
143,39.26016592979431
144,39.540199995040894
145,39.81117367744446
146,40.052918434143066
147,40.29626989364624
148,40.528770208358765
149,40.77710700035095
150,41.011479139328
151,41.24434685707092
152,41.49161076545715
153,41.77774381637573
154,41.96864151954651
155,42.21307706832886
156,42.441230058670044
157,42.6633358001709
158,42.890482664108276
159,43.12549018859863
160,43.39342784881592
161,43.62203097343445
162,43.88629746437073
163,44.109208822250366
164,44.33598756790161
165,44.58417296409607
166,44.863635540008545
167,45.13362789154053
168,45.38444924354553
169,45.64471125602722
170,45.90460181236267
171,46.15782570838928
172,46.40045499801636
173,46.64393973350525
174,46.93267464637756
175,47.18835163116455
176,47.44701910018921
177,47.68995904922485
178,47.91681623458862
179,48.17057013511658
180,48.35909628868103
181,48.5935001373291
182,48.83014178276062
183,49.024789810180664
184,49.24320840835571
185,49.4699501991272
186,49.69348931312561
187,49.95560145378113
188,50.20539379119873
189,50.40644860267639
190,50.6498236656189
191,50.90709924697876
192,51.14955687522888
193,51.38491368293762
194,51.59476375579834
195,51.819355964660645
196,52.0531280040741
197,52.29299998283386
198,52.543546199798584
199,52.80051112174988
200,53.020856618881226
201,53.26157236099243
202,53.48595094680786
203,53.74441194534302
204,53.9915816783905
205,54.234121561050415
206,54.44563174247742
207,54.69872260093689
208,54.93523550033569
209,55.141629695892334
210,55.38419485092163
211,55.604377031326294
212,55.85830593109131
213,56.086259841918945
214,56.31695032119751
215,56.54196000099182
216,56.78646779060364
217,57.02260375022888
218,57.25414228439331
219,57.527671575546265
220,57.77905821800232
221,58.014463663101196
222,58.22763156890869
223,58.47936987876892
224,58.73026204109192
225,58.95253252983093
226,59.18544936180115
227,59.4090371131897
228,59.63829731941223
229,59.870046615600586
230,60.11563515663147
231,60.336424350738525
232,60.58181118965149
233,60.80677771568298
234,61.06067109107971
235,61.285544872283936
236,61.5081090927124
237,61.75510764122009
238,61.974550008773804
239,62.23395299911499
240,62.45521807670593
241,62.72252893447876
242,62.94375467300415
243,63.17787504196167
244,63.41404151916504
245,63.657023191452026
246,63.88902306556702
247,64.13105630874634
248,64.3667962551117
249,64.60229706764221
250,64.84768557548523
251,65.09462857246399
252,65.31708669662476
253,65.54658889770508
254,65.79530549049377
255,66.00978636741638
256,66.23120212554932
257,66.4758529663086
258,66.72186040878296
259,66.94057750701904
260,67.19997668266296
261,67.4515528678894
262,67.64936780929565
263,67.88029718399048
264,68.10879492759705
265,68.37716007232666
266,68.60735154151917
267,68.8090009689331
268,69.05024576187134
269,69.26592206954956
270,69.5115418434143
271,69.77278709411621
272,69.95969200134277
273,70.2554874420166
274,70.48209381103516
275,70.71403503417969
276,70.99077677726746
277,71.18945074081421
278,71.44818902015686
279,71.69491243362427
280,71.94476437568665
281,72.18441438674927
282,72.42772722244263
283,72.70151925086975
284,72.96953773498535
285,73.21848893165588
286,73.49698877334595
287,73.70891404151917
288,73.94732022285461
289,74.18634128570557
290,74.44423484802246
291,74.6785204410553
292,74.95559048652649
293,75.18657970428467
294,75.42385005950928
295,75.65666103363037
296,75.90837526321411
297,76.13204407691956
298,76.36950182914734
299,76.60619878768921
300,76.83666229248047
301,77.09934377670288
302,77.31960129737854
303,77.54772901535034
304,77.77683424949646
305,78.02610850334167
306,78.2519383430481
307,78.48888301849365
308,78.71559190750122
309,78.92936325073242
310,79.15321254730225
311,79.3956081867218
312,79.61844849586487
313,79.85133528709412
314,80.11666440963745
315,80.30293250083923
316,80.52530264854431
317,80.77378439903259
318,80.98973870277405
319,81.24393582344055
320,81.4497480392456
321,81.68584752082825
322,81.92473340034485
323,82.11298727989197
324,82.34565258026123
325,82.56802153587341
326,82.7883369922638
327,83.01509547233582
328,83.25654721260071
329,83.47577953338623
330,83.68986558914185
331,83.90088438987732
332,84.13360929489136
333,84.3797447681427
334,84.63020014762878
335,84.87198877334595
336,85.1365373134613
337,85.37366390228271
338,85.60871601104736
339,85.84586691856384
340,86.08517694473267
341,86.32247614860535
342,86.5648410320282
343,86.79048991203308
344,87.03341841697693
345,87.2617597579956
346,87.51857447624207
347,87.74279117584229
348,87.98620438575745
349,88.2410581111908
350,88.457350730896
351,88.69373965263367
352,88.9489848613739
353,89.1949405670166
354,89.44752478599548
355,89.66633987426758
356,89.89662671089172
357,90.14478254318237
358,90.39979553222656
359,90.70428681373596
360,90.952383518219
361,91.24301028251648
362,91.48971843719482
363,91.71091771125793
364,91.97317910194397
365,92.20496487617493
366,92.50131273269653
367,92.75429368019104
368,92.99065732955933
369,93.23363280296326
370,93.5386312007904
371,93.78357338905334
372,94.03549528121948
373,94.33109211921692
374,94.58891081809998
375,94.85307121276855
376,95.09065461158752
377,95.43475532531738
378,95.727530002594
379,96.0364580154419
380,96.3096752166748
381,96.51342105865479
382,96.74730730056763
383,96.98422074317932
384,97.2128918170929
385,97.46272039413452
386,97.72216844558716
387,97.96662783622742
388,98.20794296264648
389,98.44118762016296
390,98.71729755401611
391,98.99131298065186
392,99.23158717155457
393,99.48830842971802
394,99.72501564025879
395,99.97932124137878
396,100.24002623558044
397,100.48143696784973
398,100.71921253204346
399,100.99333691596985
400,101.27839207649231
401,101.53084015846252
402,101.75422191619873
403,101.9901876449585
404,102.23242783546448
405,102.46236968040466
406,102.68211936950684
407,102.91845917701721
408,103.18170142173767
409,103.41591215133667
410,103.64740109443665
411,103.8756959438324
412,104.12355947494507
413,104.3858494758606
414,104.59150648117065
415,104.81903147697449
416,105.07352232933044
417,105.29612445831299
418,105.59119606018066
419,105.83263087272644
420,106.05626368522644
421,106.30139946937561
422,106.55350017547607
423,106.78713989257812
424,107.07257437705994
425,107.31409931182861
426,107.5620186328888
427,107.78981590270996
428,108.01304793357849
429,108.23364615440369
430,108.46596789360046
431,108.70423769950867
432,108.96860265731812
433,109.19359350204468
434,109.43877220153809
435,109.68014454841614
436,109.93354892730713
437,110.16755294799805
438,110.43064641952515
439,110.71087908744812
440,110.9883394241333
441,111.24795532226562
442,111.50997877120972
443,111.76497483253479
444,112.01985812187195
445,112.30581974983215
446,112.6111695766449
447,112.94169902801514
448,113.3085126876831
449,113.65536999702454
450,113.9959123134613
451,114.33896493911743
452,114.6761474609375
453,115.02835965156555
454,115.36398696899414
455,115.71331477165222
456,116.02934527397156
457,116.40184998512268
458,116.75283694267273
459,117.10749435424805
460,117.44495105743408
