,0,1,2,3,4
0,20.016245,21.324272,24.83455,34.693306,26.51172
1,19.502415,22.558413,27.280174,34.853893,26.190851
2,17.733564,20.144768,24.85907,31.333487,23.90001
3,16.392942,18.751648,22.38045,27.577194,22.598848
4,15.319873,17.180296,20.550392,24.816586,21.042927
5,14.009771,16.191368,18.869236,22.602728,20.136099
6,12.69495,15.575993,17.844337,20.473032,18.859486
7,11.851033,14.424615,16.589249,18.757177,17.756302
8,11.421125,13.977353,15.597566,17.579247,17.084202
9,10.871108,13.760004,14.839699,16.393885,15.970348
10,10.583983,13.479919,13.773308,15.734451,15.413072
11,10.282005,13.111701,13.797657,14.95151,14.522543
12,9.761628,12.974331,12.999863,14.09514,13.871203
13,9.807747,12.496144,12.730022,13.329639,13.160615
14,9.498727,12.50202,12.22071,12.387053,12.72409
15,9.916802,12.475352,11.871175,11.874995,12.198148
16,9.670136,12.024463,11.660632,11.4503355,12.008703
17,9.585236,12.206711,11.338632,10.759361,11.469227
18,9.711979,12.039532,11.070751,10.142124,11.220526
19,9.875792,12.102616,11.083716,9.856969,10.9474945
20,9.767181,11.936627,10.88111,9.152849,10.825096
21,9.512599,11.850928,10.465701,8.700736,10.553798
22,9.719761,11.753211,10.353531,8.714136,10.341453
23,9.655688,11.636815,10.229374,8.262086,10.212741
24,9.64606,11.611039,10.123464,7.8756375,10.177196
25,9.631307,11.510685,9.7598,7.6196527,10.02688
26,9.478538,11.48557,9.43926,7.4689813,9.843349
27,9.340207,11.389217,9.362371,7.2764654,9.84793
28,9.229558,11.3063345,9.476465,7.180625,9.662983
29,9.169148,11.175615,9.181053,6.930141,9.565871
30,9.009669,11.118939,8.809853,6.6778545,9.480347
31,9.176319,11.018684,8.577309,6.700915,9.289734
32,8.666325,10.933933,8.477534,6.5368085,9.337433
33,8.875321,10.768989,8.486858,6.43202,9.175337
34,8.70844,10.910162,8.575841,6.2045207,9.225446
35,8.655032,10.916388,8.10741,5.983174,8.999891
36,8.557503,10.576911,7.8952293,6.0076365,8.993278
37,8.639724,10.491563,7.7399745,5.929873,8.832778
38,8.228302,10.589929,7.8188267,5.937576,8.762256
