,time [s]
0,0.2169194221496582
1,0.45105457305908203
2,0.7022886276245117
3,0.9649496078491211
4,1.2135920524597168
5,1.462158203125
6,1.7276945114135742
7,1.9820010662078857
8,2.214245557785034
9,2.477591037750244
10,2.733069658279419
11,2.9965882301330566
12,3.2327427864074707
13,3.4910969734191895
14,3.7406651973724365
15,3.992393732070923
16,4.244528770446777
17,4.500378847122192
18,4.798368692398071
19,5.028990268707275
20,5.314869165420532
21,5.549118518829346
22,5.817276239395142
23,6.05350399017334
24,6.313848972320557
25,6.5563366413116455
26,6.803860187530518
27,7.0666797161102295
28,7.3250110149383545
29,7.584832429885864
30,7.847207546234131
31,8.120797395706177
32,8.358241558074951
33,8.637675046920776
34,8.857754468917847
35,9.115147829055786
36,9.371413707733154
37,9.653541803359985
38,9.891944408416748
39,10.127248764038086
40,10.400343179702759
41,10.666147232055664
42,10.903270483016968
43,11.147789239883423
44,11.377686738967896
45,11.621910095214844
46,11.874658584594727
47,12.120090246200562
48,12.352814197540283
49,12.597269773483276
50,12.85944938659668
51,13.107191801071167
52,13.319101810455322
53,13.565786123275757
54,13.82644248008728
55,14.060527324676514
56,14.299765586853027
57,14.514258623123169
58,14.770824432373047
59,15.034700155258179
60,15.238281726837158
61,15.505666255950928
62,15.741966247558594
63,16.00638461112976
64,16.25017237663269
65,16.487364768981934
66,16.709596633911133
67,16.94530439376831
68,17.18330454826355
69,17.424854516983032
70,17.67490530014038
71,17.91610813140869
72,18.179060459136963
73,18.39325189590454
74,18.6706759929657
75,18.965144872665405
76,19.195661067962646
77,19.443777322769165
78,19.738527536392212
79,19.975324392318726
80,20.23633623123169
81,20.493982791900635
82,20.780381441116333
83,21.0349760055542
84,21.282829761505127
85,21.55475664138794
86,21.816725254058838
87,22.087336540222168
88,22.345772743225098
89,22.619470596313477
90,22.860829830169678
91,23.113967180252075
92,23.37852668762207
93,23.663273096084595
94,23.91679859161377
95,24.184263706207275
96,24.46431589126587
97,24.717674016952515
98,24.953617572784424
99,25.245014190673828
100,25.52620792388916
101,25.79706072807312
102,26.07693886756897
103,26.30479598045349
104,26.568728923797607
105,26.83552861213684
106,27.12448811531067
107,27.379489421844482
108,27.618443250656128
109,27.870344400405884
110,28.147679805755615
111,28.42667293548584
112,28.687374591827393
113,28.961398601531982
114,29.237581729888916
115,29.47800850868225
116,29.744048595428467
117,30.019450187683105
118,30.286534786224365
119,30.524837732315063
120,30.765865802764893
121,31.012942790985107
122,31.255057096481323
123,31.499385118484497
124,31.73335909843445
125,31.997983932495117
126,32.23052382469177
127,32.466689348220825
128,32.75249981880188
129,33.01131343841553
130,33.21258735656738
131,33.46924901008606
132,33.723716020584106
133,33.991997480392456
134,34.20486855506897
135,34.45247793197632
136,34.6872444152832
137,34.928199768066406
138,35.16801381111145
139,35.40533447265625
140,35.641799449920654
141,35.87092447280884
142,36.105624198913574
143,36.3574755191803
144,36.597893953323364
145,36.865886211395264
146,37.07951807975769
147,37.31572389602661
148,37.56669473648071
149,37.83193325996399
150,38.058475732803345
151,38.30408000946045
152,38.52741622924805
153,38.77857947349548
154,39.01493430137634
155,39.244633197784424
156,39.48413944244385
157,39.735132694244385
158,39.986480951309204
159,40.23191237449646
160,40.47452640533447
161,40.74902939796448
162,41.00003910064697
163,41.250832319259644
164,41.492867946624756
165,41.74402666091919
166,41.98916840553284
167,42.220606088638306
168,42.43255376815796
169,42.648271560668945
170,42.86677932739258
171,43.103692054748535
172,43.31415390968323
173,43.526095390319824
174,43.734508991241455
175,43.957481384277344
176,44.17998003959656
177,44.44251847267151
178,44.66393804550171
179,44.89430785179138
180,45.11454224586487
181,45.333144426345825
182,45.5868923664093
183,45.83641290664673
184,46.11405324935913
185,46.32969832420349
186,46.59222435951233
187,46.83194327354431
188,47.08584260940552
189,47.346789836883545
190,47.590254068374634
191,47.8363835811615
192,48.07968854904175
193,48.3369665145874
194,48.584699392318726
195,48.83228850364685
196,49.08318543434143
197,49.334468841552734
198,49.58335518836975
199,49.83902955055237
200,50.10048007965088
201,50.34546709060669
202,50.61680006980896
203,50.871620655059814
204,51.15493655204773
205,51.429784297943115
206,51.68005347251892
207,51.93279027938843
208,52.199310541152954
209,52.43126463890076
210,52.683313608169556
211,52.93828773498535
212,53.180267333984375
213,53.45235848426819
214,53.68635368347168
215,53.95025587081909
216,54.21836853027344
217,54.46545481681824
218,54.711366415023804
219,54.9613401889801
220,55.20744752883911
221,55.459842681884766
222,55.70840096473694
223,55.97167897224426
224,56.2225615978241
225,56.469250440597534
226,56.72309112548828
227,56.96482253074646
228,57.21552562713623
229,57.459967851638794
230,57.7126579284668
231,57.96125841140747
232,58.222283124923706
233,58.453696966171265
234,58.70765781402588
235,58.94284796714783
236,59.20985507965088
237,59.469963788986206
238,59.707133293151855
239,59.94828701019287
240,60.207762241363525
241,60.45716142654419
242,60.723907709121704
243,60.96990966796875
244,61.21963143348694
245,61.46993374824524
246,61.723684787750244
247,61.99252939224243
248,62.24025082588196
249,62.49190902709961
250,62.738688945770264
251,62.98205637931824
252,63.223729610443115
253,63.462794065475464
254,63.73383688926697
255,63.992013931274414
256,64.22941017150879
257,64.48165202140808
258,64.74703431129456
259,64.98393774032593
260,65.23518013954163
261,65.49584627151489
262,65.74843883514404
263,66.00188159942627
264,66.27104592323303
265,66.52095103263855
266,66.76740384101868
267,67.01196336746216
268,67.24158000946045
269,67.47479796409607
270,67.71626567840576
271,67.96242070198059
272,68.19577264785767
273,68.43110537528992
274,68.6606957912445
275,68.90711283683777
276,69.15040254592896
277,69.38072991371155
278,69.60678172111511
279,69.86930179595947
280,70.07879185676575
281,70.34537291526794
282,70.5650384426117
283,70.80163478851318
284,71.03675723075867
285,71.30180025100708
286,71.5147795677185
287,71.74808096885681
288,72.06247901916504
289,72.30301642417908
290,72.53602361679077
291,72.76765084266663
292,73.01008749008179
293,73.24191474914551
294,73.48525929450989
295,73.7185447216034
296,73.96194124221802
297,74.17984557151794
298,74.41892051696777
299,74.65130519866943
300,74.88855838775635
301,75.11276245117188
302,75.35498762130737
303,75.57568049430847
304,75.8082127571106
305,76.05776906013489
306,76.31190156936646
307,76.55068755149841
308,76.78046989440918
309,77.01237607002258
310,77.25232243537903
311,77.52520060539246
312,77.7343761920929
313,77.96747398376465
314,78.21395540237427
315,78.4430639743805
316,78.69911813735962
317,78.93161678314209
318,79.16297650337219
319,79.38808631896973
320,79.62479877471924
321,79.85507106781006
322,80.11153388023376
323,80.34616422653198
324,80.57022333145142
325,80.79930424690247
326,81.03084540367126
327,81.25643014907837
328,81.50087070465088
329,81.75764727592468
330,81.96076035499573
331,82.18994998931885
332,82.41285848617554
333,82.64731287956238
334,82.87338256835938
335,83.10113501548767
336,83.33639574050903
337,83.57285714149475
338,83.80290412902832
339,84.03365159034729
340,84.2559540271759
341,84.49362301826477
342,84.72276616096497
343,84.97069382667542
344,85.1931939125061
345,85.41555070877075
346,85.64498996734619
347,85.89016532897949
348,86.11757349967957
349,86.34046864509583
350,86.59889435768127
351,86.80474543571472
352,87.06147146224976
353,87.28509569168091
354,87.55410742759705
355,87.78383827209473
356,88.01926779747009
357,88.24258208274841
358,88.51907801628113
359,88.72255635261536
360,88.96327257156372
361,89.219899892807
362,89.45588564872742
363,89.67692446708679
364,89.91051077842712
365,90.15092492103577
366,90.3775110244751
367,90.62104272842407
368,90.85302710533142
369,91.09153342247009
370,91.31513547897339
371,91.544016122818
372,91.78121590614319
373,92.00949358940125
374,92.24994039535522
375,92.4755973815918
376,92.70155715942383
377,92.93521451950073
378,93.18373394012451
379,93.40409183502197
380,93.6259913444519
381,93.87124109268188
382,94.11066722869873
383,94.35134077072144
384,94.57217741012573
385,94.79861617088318
386,95.02472472190857
387,95.25543737411499
388,95.50755620002747
389,95.73186206817627
390,95.97243309020996
391,96.2149863243103
392,96.43116688728333
393,96.66491365432739
394,96.90279269218445
395,97.12820148468018
396,97.35441565513611
397,97.58330368995667
398,97.80935049057007
399,98.05722641944885
400,98.30329155921936
401,98.54336905479431
402,98.7589271068573
403,98.98981070518494
404,99.22516083717346
405,99.45838141441345
406,99.68898510932922
407,99.93882989883423
408,100.16835427284241
409,100.40025520324707
410,100.6353759765625
411,100.86617136001587
412,101.10807943344116
413,101.34406042098999
414,101.60440587997437
415,101.80557632446289
416,102.04675626754761
417,102.28857135772705
418,102.52368664741516
419,102.75894546508789
420,102.9942467212677
421,103.22893857955933
422,103.45342183113098
423,103.6849057674408
424,103.91481685638428
425,104.15943312644958
426,104.39019012451172
427,104.6454849243164
428,104.85773801803589
429,105.09370565414429
430,105.3183434009552
431,105.56061458587646
432,105.79514980316162
433,106.02536940574646
434,106.25813961029053
435,106.50157237052917
436,106.72085475921631
437,106.97097849845886
438,107.2218337059021
439,107.44316625595093
440,107.67908024787903
441,107.90420055389404
442,108.13462948799133
443,108.36907958984375
444,108.5976574420929
445,108.8272488117218
446,109.06428241729736
447,109.28977060317993
448,109.52997970581055
449,109.73890519142151
450,109.9679160118103
451,110.22307348251343
452,110.4418694972992
453,110.678781747818
454,110.89529347419739
455,111.12042164802551
456,111.35534310340881
457,111.58352518081665
458,111.8073890209198
459,112.04947304725647
460,112.2825038433075
461,112.5214900970459
462,112.76210021972656
463,113.0012435913086
464,113.2407169342041
465,113.46945071220398
466,113.70166420936584
467,113.93129134178162
468,114.16263675689697
469,114.39440536499023
470,114.61830615997314
471,114.85438323020935
472,115.07675909996033
473,115.3158049583435
474,115.55607962608337
475,115.81597805023193
476,116.04045987129211
477,116.28188681602478
478,116.51602816581726
479,116.7634105682373
480,116.98950958251953
481,117.23236155509949
482,117.47446918487549
483,117.7076473236084
484,117.93387651443481
485,118.17216849327087
486,118.39478611946106
487,118.64179348945618
488,118.89685440063477
489,119.10849714279175
490,119.33633971214294
491,119.56965827941895
492,119.84159255027771
493,120.05470943450928
494,120.27253341674805
495,120.49787449836731
496,120.7302737236023
497,120.98322415351868
498,121.2348940372467
499,121.4701178073883
500,121.70884537696838
501,121.9281656742096
502,122.16358423233032
503,122.38971543312073
504,122.61583542823792
505,122.85512208938599
506,123.09928607940674
507,123.3383424282074
508,123.5644018650055
509,123.79096031188965
510,124.02938413619995
511,124.25368881225586
512,124.49050998687744
513,124.71383571624756
514,124.93458247184753
515,125.16238617897034
516,125.3980598449707
517,125.65046405792236
518,125.8712911605835
519,126.11703824996948
520,126.3574960231781
521,126.59062361717224
522,126.84071254730225
523,127.07253503799438
524,127.32131552696228
525,127.53725266456604
526,127.78345990180969
527,128.01770401000977
528,128.2717809677124
529,128.53951978683472
530,128.77423191070557
531,129.0135133266449
532,129.24350929260254
533,129.48068118095398
534,129.74638271331787
535,129.96052861213684
536,130.21273374557495
537,130.436265707016
538,130.6949384212494
539,130.95243549346924
540,131.17125153541565
541,131.41418957710266
542,131.63005423545837
543,131.87484169006348
544,132.14105415344238
545,132.34420251846313
546,132.57724618911743
547,132.81592917442322
548,133.0649447441101
549,133.3140799999237
550,133.6063094139099
551,133.83253598213196
552,134.06031608581543
553,134.30041909217834
554,134.56174564361572
555,134.8146321773529
556,135.0635645389557
557,135.3220353126526
558,135.5625650882721
559,135.78560042381287
560,136.04595494270325
561,136.2970905303955
562,136.57408213615417
563,136.81096529960632
564,137.0708167552948
565,137.30476117134094
566,137.53435444831848
567,137.75161218643188
568,137.97786855697632
569,138.24314713478088
570,138.50011324882507
571,138.73534226417542
572,138.97506546974182
573,139.204852104187
574,139.46335673332214
575,139.69409465789795
576,139.9529321193695
577,140.18367266654968
578,140.41325616836548
579,140.6518371105194
580,140.9029040336609
581,141.20204901695251
582,141.43436241149902
583,141.6626706123352
584,141.9220151901245
585,142.1936616897583
586,142.43259072303772
587,142.71564602851868
588,142.920072555542
589,143.1779191493988
590,143.4353346824646
591,143.69177722930908
592,143.93166184425354
593,144.16366720199585
594,144.4271731376648
595,144.67515468597412
596,144.9206085205078
597,145.14289808273315
598,145.37705945968628
599,145.61388182640076
600,145.8680305480957
601,146.10923218727112
602,146.33507299423218
603,146.60527348518372
604,146.86225938796997
605,147.06008505821228
606,147.30481696128845
607,147.56452083587646
608,147.80652928352356
609,148.07233333587646
610,148.26809334754944
611,148.517822265625
612,148.74875593185425
613,148.98195481300354
614,149.213397026062
615,149.51688838005066
616,149.7542896270752
617,150.01792216300964
618,150.26954531669617
619,150.53607273101807
620,150.77144718170166
621,151.02879309654236
622,151.27947902679443
623,151.53231000900269
624,151.7757637500763
625,152.0104115009308
626,152.23625326156616
627,152.48004603385925
628,152.72370839118958
629,152.94607281684875
630,153.213059425354
631,153.45895957946777
632,153.71142077445984
633,153.9526081085205
634,154.22516775131226
635,154.436265707016
636,154.6708333492279
637,154.9109148979187
638,155.15361523628235
639,155.4032347202301
640,155.65460753440857
641,155.88718152046204
642,156.12159204483032
643,156.3562469482422
644,156.6219036579132
645,156.87425994873047
646,157.09205961227417
647,157.33096623420715
648,157.55364656448364
649,157.79901695251465
650,158.07285594940186
651,158.28167748451233
652,158.50806283950806
653,158.74433994293213
654,158.9662184715271
655,159.1932282447815
656,159.44648814201355
657,159.6685173511505
658,159.91129446029663
659,160.14874291419983
660,160.36633396148682
661,160.62008142471313
662,160.8538749217987
663,161.093195438385
664,161.33737969398499
665,161.5836923122406
666,161.8292999267578
667,162.0514054298401
668,162.30896830558777
669,162.52083611488342
670,162.7594654560089
671,162.96871161460876
672,163.23718881607056
673,163.484601020813
674,163.71071004867554
675,163.93413639068604
676,164.16330885887146
677,164.38263130187988
678,164.6082684993744
679,164.837495803833
680,165.04580426216125
681,165.28158259391785
682,165.55574560165405
683,165.78810930252075
684,166.0142605304718
685,166.25429916381836
686,166.4922480583191
687,166.7426540851593
688,166.94960618019104
689,167.17469477653503
690,167.40040373802185
691,167.64197611808777
692,167.87999439239502
693,168.1334674358368
694,168.35235142707825
695,168.5818874835968
696,168.81798601150513
697,169.05569791793823
698,169.31690764427185
699,169.56678652763367
700,169.78137493133545
701,170.0495843887329
702,170.28910446166992
703,170.55111026763916
704,170.79104161262512
705,171.02970266342163
706,171.293217420578
707,171.54100680351257
708,171.76955246925354
709,172.0115373134613
710,172.251953125
711,172.51968002319336
712,172.74512243270874
713,172.9952507019043
714,173.23086047172546
715,173.47240328788757
716,173.69326877593994
717,173.92343187332153
718,174.15913343429565
719,174.39605736732483
720,174.64643716812134
721,174.88610124588013
722,175.12594866752625
723,175.37093377113342
724,175.59963583946228
725,175.84383988380432
726,176.07615208625793
727,176.32246375083923
728,176.55637502670288
729,176.80124402046204
730,177.03936672210693
731,177.27489805221558
732,177.50875997543335
733,177.74049639701843
734,177.98913955688477
735,178.21232080459595
736,178.4823443889618
737,178.74388790130615
738,178.98019647598267
739,179.2320590019226
740,179.52673077583313
741,179.7242043018341
742,179.97704935073853
743,180.22255039215088
744,180.4715404510498
745,180.70788502693176
746,180.93342757225037
747,181.16477227210999
748,181.39522862434387
749,181.64896321296692
750,181.87845015525818
751,182.1187560558319
752,182.3690869808197
753,182.63274812698364
754,182.86160397529602
755,183.12186884880066
756,183.38962054252625
757,183.6353042125702
758,183.91882634162903
759,184.15717124938965
760,184.43154120445251
761,184.67081594467163
762,184.96124863624573
763,185.17259669303894
764,185.42887711524963
765,185.6624550819397
766,185.90488505363464
767,186.1839210987091
768,186.37898921966553
769,186.6108705997467
770,186.845290184021
771,187.07285046577454
772,187.30214309692383
773,187.55239725112915
774,187.82723999023438
775,188.0640127658844
776,188.30162978172302
777,188.56836867332458
778,188.81547236442566
779,189.04550576210022
780,189.2832305431366
781,189.52664065361023
782,189.7853307723999
783,190.0203013420105
784,190.2728431224823
785,190.5251133441925
786,190.79830193519592
787,191.02754950523376
788,191.27564477920532
789,191.49273419380188
790,191.74121165275574
791,191.9788954257965
792,192.24975299835205
793,192.47018003463745
794,192.72329592704773
795,192.96484351158142
796,193.2165493965149
797,193.46605467796326
798,193.72203135490417
799,193.9611258506775
800,194.20116782188416
801,194.47397994995117
802,194.72590041160583
803,194.93683505058289
804,195.20574498176575
805,195.42503237724304
806,195.651841878891
807,195.90098571777344
808,196.1313338279724
809,196.36563968658447
810,196.6465859413147
811,196.87809681892395
812,197.13459944725037
813,197.37248849868774
814,197.59661674499512
815,197.84281587600708
816,198.0950276851654
817,198.32108402252197
818,198.59705519676208
819,198.81676197052002
820,199.0564615726471
821,199.32500910758972
822,199.56575965881348
823,199.83111572265625
824,200.07290935516357
825,200.30734205245972
826,200.5641644001007
827,200.82505631446838
828,201.05238032341003
829,201.27509331703186
830,201.51797795295715
831,201.78117537498474
832,202.0318684577942
833,202.3049087524414
834,202.5446662902832
835,202.77074766159058
836,203.01726603507996
837,203.2802574634552
838,203.53364896774292
839,203.79377222061157
840,204.005544424057
841,204.26082611083984
842,204.47693181037903
843,204.7482771873474
844,205.00636100769043
845,205.2406997680664
846,205.4843111038208
847,205.73523044586182
848,205.99476766586304
849,206.25103306770325
850,206.5268681049347
851,206.8331868648529
852,207.0511498451233
853,207.34834718704224
854,207.59379863739014
855,207.83616709709167
856,208.08852171897888
857,208.3307728767395
858,208.59423232078552
859,208.8262436389923
860,209.07175946235657
861,209.31723594665527
862,209.56155800819397
863,209.81432962417603
864,210.07840013504028
865,210.31016731262207
866,210.5801293849945
867,210.82611751556396
868,211.0610592365265
869,211.31376361846924
870,211.5575749874115
871,211.8124828338623
872,212.05344986915588
873,212.30571174621582
874,212.55532574653625
875,212.79753851890564
876,213.0273082256317
877,213.31416010856628
878,213.5217888355255
879,213.77251076698303
880,214.0255467891693
881,214.26852107048035
882,214.5088756084442
883,214.7503604888916
884,214.99471735954285
885,215.25152325630188
886,215.4634096622467
887,215.6961498260498
888,215.95190167427063
889,216.18078756332397
890,216.4075620174408
891,216.64492630958557
892,216.89313530921936
893,217.12530827522278
894,217.37841176986694
895,217.6184720993042
896,217.87406253814697
897,218.1092779636383
898,218.37472105026245
899,218.60838317871094
900,218.85150003433228
901,219.08841705322266
902,219.31128644943237
903,219.57571959495544
904,219.79521107673645
905,220.0249035358429
906,220.27164030075073
907,220.52647495269775
908,220.77025151252747
909,221.01989197731018
910,221.24639773368835
911,221.49921035766602
912,221.71496748924255
913,221.95651769638062
914,222.21526527404785
915,222.43869876861572
916,222.66454362869263
917,222.88538455963135
918,223.12600469589233
919,223.35746788978577
920,223.6052463054657
921,223.8380742073059
922,224.0917091369629
923,224.3607053756714
924,224.57893228530884
925,224.84213948249817
926,225.07091331481934
927,225.32419967651367
928,225.58913850784302
929,225.8210964202881
930,226.0703685283661
931,226.3111696243286
932,226.54664278030396
933,226.78747653961182
934,227.04488611221313
935,227.30248403549194
936,227.54183959960938
937,227.78554248809814
938,228.039377450943
939,228.29412984848022
940,228.54562091827393
941,228.8028428554535
942,229.01994156837463
943,229.30922198295593
944,229.53609323501587
945,229.77913165092468
946,230.04488348960876
947,230.28229427337646
948,230.5347616672516
949,230.75571203231812
950,230.98187041282654
951,231.27079367637634
952,231.5217387676239
953,231.75447845458984
954,231.99456191062927
955,232.24115920066833
956,232.49262928962708
957,232.7292833328247
958,232.9617612361908
959,233.2090744972229
960,233.45187830924988
961,233.6966953277588
962,233.9709632396698
963,234.17689299583435
964,234.42420530319214
965,234.64246797561646
966,234.9280345439911
967,235.15913343429565
968,235.35910820960999
969,235.5870339870453
970,235.8317723274231
971,236.06198906898499
972,236.32570958137512
973,236.54320192337036
974,236.79839372634888
975,237.0151927471161
976,237.25027203559875
977,237.48620581626892
978,237.71020460128784
979,237.95206904411316
980,238.1909055709839
981,238.40859580039978
982,238.68425273895264
983,238.89690017700195
984,239.17634868621826
985,239.39142298698425
986,239.64434218406677
987,239.86864972114563
988,240.0899908542633
989,240.32949090003967
990,240.57071137428284
991,240.8517301082611
992,241.0726444721222
993,241.33128571510315
994,241.56862545013428
995,241.79952597618103
996,242.04588341712952
997,242.29179334640503
998,242.54312467575073
999,242.75973296165466
1000,243.02235412597656
1001,243.2547891139984
1002,243.5202603340149
1003,243.774493932724
1004,244.0095591545105
1005,244.22355461120605
1006,244.50327467918396
1007,244.75721645355225
1008,245.0129110813141
1009,245.24814534187317
1010,245.5156970024109
1011,245.7588484287262
1012,246.0009355545044
1013,246.25771832466125
1014,246.50880980491638
1015,246.72554111480713
1016,246.9759509563446
1017,247.26077556610107
1018,247.53561544418335
1019,247.83327770233154
1020,248.06792855262756
1021,248.3416337966919
1022,248.58499670028687
1023,248.8635218143463
1024,249.13532304763794
1025,249.43862462043762
1026,249.67444396018982
1027,249.9309778213501
1028,250.21032285690308
1029,250.44172048568726
1030,250.711900472641
1031,250.981849193573
1032,251.24492931365967
1033,251.4946322441101
1034,251.82503938674927
1035,252.06085872650146
1036,252.32933640480042
1037,252.59715247154236
1038,252.88254523277283
1039,253.11832475662231
1040,253.36571335792542
1041,253.6216311454773
1042,253.8902144432068
1043,254.1260416507721
1044,254.39037322998047
1045,254.63811492919922
1046,254.89060044288635
1047,255.11677479743958
1048,255.40497994422913
1049,255.64105868339539
1050,255.87479877471924
1051,256.1162462234497
1052,256.35766100883484
1053,256.6128306388855
1054,256.85555934906006
1055,257.1309380531311
1056,257.3500437736511
1057,257.60261631011963
1058,257.8723952770233
1059,258.08696937561035
1060,258.34306931495667
1061,258.5532717704773
1062,258.804416179657
1063,259.0689203739166
1064,259.29181933403015
1065,259.51965069770813
1066,259.7502861022949
1067,259.9922299385071
1068,260.28506731987
1069,260.5077841281891
1070,260.7188150882721
1071,260.97782278060913
1072,261.16990995407104
1073,261.4005196094513
1074,261.6604118347168
1075,261.9105019569397
1076,262.1651031970978
1077,262.4219710826874
1078,262.69950103759766
1079,262.9186704158783
1080,263.15300273895264
1081,263.39328813552856
1082,263.65610098838806
1083,263.91646122932434
1084,264.1831760406494
1085,264.46988797187805
1086,264.6801121234894
1087,264.94311332702637
1088,265.2059209346771
1089,265.4563467502594
1090,265.71473026275635
1091,265.980103969574
1092,266.20964646339417
1093,266.4750466346741
1094,266.7447373867035
1095,267.0282347202301
1096,267.2721815109253
1097,267.52836441993713
1098,267.80402636528015
1099,268.0785562992096
1100,268.3530821800232
1101,268.61533784866333
1102,268.9119915962219
1103,269.13866114616394
1104,269.4010102748871
1105,269.6612112522125
1106,269.93317461013794
1107,270.2289865016937
1108,270.480397939682
1109,270.7551531791687
1110,271.01249599456787
1111,271.2584364414215
1112,271.54144978523254
1113,271.8003075122833
1114,272.07889127731323
1115,272.3395962715149
1116,272.5877139568329
1117,272.8320195674896
1118,273.1302559375763
1119,273.39594435691833
1120,273.62378454208374
1121,273.8898003101349
1122,274.14298939704895
1123,274.39451479911804
1124,274.63340735435486
1125,274.873379945755
1126,275.1468698978424
1127,275.38341093063354
1128,275.61641454696655
1129,275.8681015968323
1130,276.12095308303833
1131,276.3541262149811
1132,276.60520815849304
1133,276.86339688301086
1134,277.11788630485535
1135,277.3158197402954
1136,277.53746819496155
1137,277.77683210372925
1138,278.0032477378845
1139,278.24435114860535
1140,278.4793360233307
1141,278.7058298587799
1142,278.9361879825592
1143,279.17585825920105
1144,279.4123954772949
1145,279.65380573272705
1146,279.8862407207489
1147,280.12478971481323
1148,280.35828971862793
1149,280.6074595451355
1150,280.8301422595978
1151,281.05736351013184
1152,281.3090076446533
1153,281.54909563064575
1154,281.7854778766632
1155,282.02966046333313
1156,282.25680923461914
1157,282.5103192329407
1158,282.7081768512726
1159,282.9373106956482
1160,283.1792347431183
1161,283.39754271507263
1162,283.6372158527374
1163,283.90680170059204
