,total loss,total squered residual,total normalisation error,total orthogonalisation error
0,21705922.0,4529.80517578125,0.0012588419485837221,0.044369377195835114
1,15678758.0,3825.995361328125,0.0019321230938658118,0.0814531072974205
2,9759670.0,3002.96533203125,0.0008963097934611142,0.07774713635444641
3,6501139.0,2437.949951171875,0.0010208645835518837,0.10202417522668839
4,4636041.0,2048.285888671875,0.0007970765000209212,0.14874905347824097
5,3554049.25,1786.212158203125,0.0010643776040524244,0.1799042969942093
6,2704882.5,1550.082763671875,0.0032810638658702374,0.22797293961048126
7,2060412.875,1345.973876953125,0.004128910135477781,0.2514350414276123
8,1742663.625,1234.5447998046875,0.0067316750064492226,0.2472202181816101
9,1409400.25,1105.1175537109375,0.012397820129990578,0.25541388988494873
10,1222698.5,1027.0826416015625,0.013822698034346104,0.24189414083957672
11,1038105.375,941.8004760742188,0.022356459870934486,0.2596592903137207
12,921116.6875,885.63232421875,0.030674291774630547,0.2595768868923187
13,776883.125,809.6646118164062,0.038204215466976166,0.25456854701042175
14,698696.6875,766.8214721679688,0.046236880123615265,0.24201242625713348
15,644106.6875,735.4005126953125,0.05092550441622734,0.21936626732349396
16,607609.0,713.3267822265625,0.05500955507159233,0.23241868615150452
17,528085.8125,662.2271728515625,0.06721866130828857,0.22603917121887207
18,480115.0,630.157470703125,0.07387328147888184,0.2121763527393341
19,455795.8125,613.4735107421875,0.07666361331939697,0.1927446722984314
20,423040.53125,589.981689453125,0.08290332555770874,0.1947058141231537
21,384858.09375,561.296875,0.08261299878358841,0.1976521611213684
22,366299.9375,545.8989868164062,0.08612487465143204,0.2089996486902237
23,351317.03125,534.00390625,0.08312812447547913,0.21590673923492432
24,320532.28125,507.5269775390625,0.08677344024181366,0.22771435976028442
25,300324.75,490.3454895019531,0.08537086844444275,0.22599300742149353
26,283022.96875,475.070068359375,0.09207223355770111,0.22802935540676117
27,265425.78125,458.2110595703125,0.0942067950963974,0.2418353408575058
28,264306.5,456.9241943359375,0.09148193895816803,0.2558963894844055
29,234573.3125,427.544677734375,0.08774296939373016,0.2668362855911255
30,237290.640625,431.3109436035156,0.08858243376016617,0.2657175064086914
31,222910.546875,417.21343994140625,0.08934316039085388,0.25170648097991943
32,214829.140625,408.61212158203125,0.09084853529930115,0.27104079723358154
33,205995.421875,399.4825439453125,0.09156786650419235,0.2638639211654663
34,200722.4375,393.7091979980469,0.09946088492870331,0.2646874189376831
35,186833.859375,378.78240966796875,0.09303198009729385,0.2676374912261963
36,187974.609375,380.2950744628906,0.09691670536994934,0.27844586968421936
37,172220.59375,361.1570129394531,0.10128931701183319,0.30256181955337524
38,175219.40625,365.5974426269531,0.1047540083527565,0.2888270914554596
39,169733.4375,358.93988037109375,0.09591981768608093,0.2955162823200226
40,160339.875,348.3453369140625,0.10772653669118881,0.2868882417678833
41,149715.671875,334.24066162109375,0.10119646787643433,0.31238555908203125
42,158581.578125,346.2530212402344,0.09240509569644928,0.2959706783294678
43,147843.671875,332.2318115234375,0.09113961458206177,0.3164796531200409
44,147978.390625,333.47015380859375,0.10836401581764221,0.30208560824394226
45,138362.609375,319.4503479003906,0.11444515734910965,0.3428855240345001
46,137779.75,320.0784606933594,0.1084902286529541,0.31761419773101807
47,133262.96875,313.36651611328125,0.1130644679069519,0.33788490295410156
48,125585.6171875,303.21649169921875,0.1038336232304573,0.33625873923301697
49,127728.7109375,304.9436340332031,0.11521707475185394,0.36161497235298157
50,123108.421875,299.8303527832031,0.10576565563678741,0.3384232521057129
51,119852.25,295.01361083984375,0.11375731974840164,0.3530476689338684
52,118022.5703125,292.25982666015625,0.11201125383377075,0.35527706146240234
53,115760.28125,288.85223388671875,0.12536810338497162,0.3605805039405823
54,111191.9453125,282.3077087402344,0.12487885355949402,0.3555213510990143
55,110808.6484375,281.81280517578125,0.12374639511108398,0.36797410249710083
56,113127.34375,284.8822021484375,0.12462717294692993,0.3735729455947876
57,106161.703125,275.5977783203125,0.11168073117733002,0.3480190336704254
58,106188.390625,275.92950439453125,0.13041207194328308,0.34764736890792847
59,102928.1015625,269.8954772949219,0.12408672273159027,0.37970349192619324
60,101612.2421875,268.5960693359375,0.11712107062339783,0.35961467027664185
61,102160.1953125,269.6148681640625,0.12663741409778595,0.36180561780929565
62,99871.1953125,265.828369140625,0.12154379487037659,0.3708034157752991
63,94728.9609375,257.704833984375,0.12621602416038513,0.372881144285202
64,93408.859375,255.67373657226562,0.13987067341804504,0.3726164400577545
65,94167.5625,258.03302001953125,0.12415875494480133,0.3510880470275879
66,94146.1171875,257.9951171875,0.14167480170726776,0.3424229025840759
67,93064.5625,257.08453369140625,0.12808403372764587,0.3357210159301758
68,89533.25,251.28578186035156,0.12535671889781952,0.33357858657836914
69,90128.2578125,251.4842987060547,0.13172031939029694,0.34511977434158325
70,87273.078125,246.64764404296875,0.12331123650074005,0.3591974079608917
71,87249.5625,248.13818359375,0.13417337834835052,0.32053837180137634
72,86153.4453125,246.08828735351562,0.13015791773796082,0.3238610625267029
73,86100.3515625,245.9483184814453,0.13658064603805542,0.3266007900238037
74,81710.3125,238.59715270996094,0.13415727019309998,0.32543450593948364
75,84191.7265625,242.905517578125,0.13746529817581177,0.3324592709541321
76,83275.359375,241.65383911132812,0.13337355852127075,0.325700581073761
77,78840.0625,234.3579864501953,0.15059489011764526,0.31469637155532837
