Step,Time[s],Residual-term,Normalization-term,Orthogonalization-term,e0,e1,e2,e3,e4
5100,1714.27,1.4836e+01,6.4478e-02,2.6869e-04,3.32137799,4.58501673,4.60499763,4.89151382,5.21387815
5200,1747.64,1.4107e+01,6.8441e-02,3.3842e-04,3.30857944,4.55111027,4.56908989,4.81779289,5.15650225
5300,1781.25,1.4119e+01,6.4199e-02,9.6135e-04,3.30506277,4.48858738,4.49006319,4.79693174,5.11857986
5400,1814.72,1.3751e+01,5.7989e-02,4.7024e-04,3.28699613,4.46786928,4.50317049,4.78107691,5.06096077
5500,1848.13,1.3295e+01,5.8314e-02,7.5108e-04,3.28653121,4.43119335,4.46222162,4.7263155,5.00555038
5600,1881.63,1.2883e+01,5.1892e-02,4.3719e-04,3.28635144,4.39103079,4.40972614,4.71951962,4.95097065
5700,1915.07,1.2249e+01,5.9832e-02,1.9385e-04,3.27395201,4.34877443,4.35333776,4.67635393,4.90422916
5800,1948.68,1.2280e+01,5.3239e-02,6.1288e-04,3.2763629,4.3122344,4.31519461,4.66442776,4.84658861
5900,1981.93,1.1614e+01,5.5435e-02,5.1297e-04,3.25352049,4.20522165,4.26443863,4.61325121,4.80374813
6000,2015.34,1.1154e+01,6.3375e-02,5.3607e-04,3.25483656,4.05277443,4.19384336,4.61310053,4.69917345
6100,2048.71,1.0748e+01,7.1906e-02,3.2332e-04,3.21047091,3.84551835,4.10617208,4.58147097,4.65577888
6200,2082.23,1.0530e+01,7.5097e-02,4.4048e-04,3.19913459,3.65016532,3.9779532,4.53917408,4.58777809
6300,2115.62,9.9353e+00,7.4862e-02,5.7553e-04,3.17969418,3.53464675,3.81534457,4.42729139,4.55731058
6400,2148.96,8.9201e+00,7.4954e-02,1.5956e-03,3.17328262,3.42164874,3.63737154,4.25283957,4.54453087
6500,2182.52,8.8409e+00,6.6930e-02,3.5493e-04,3.1818409,3.35716271,3.50901318,4.08236933,4.52677488
6600,2215.86,8.1698e+00,7.7137e-02,1.1385e-03,3.19121933,3.27478766,3.43053722,3.85436463,4.48241091
