,Time[s],R-term,A-term,B-term,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9
0,1.7106664180755615,1054.2779541015625,0.4124835729598999,4.130034923553467,5.472316265106201,3.9520201683044434,2.2132163047790527,4.3100361824035645,4.396903038024902,2.4084973335266113,3.8431015014648438,1.7020193338394165,4.0675506591796875,5.594610691070557
1,1.8120200634002686,351.0703125,0.4383271336555481,7.024665832519531,3.300529718399048,2.1391921043395996,2.324495553970337,5.249446392059326,1.3703851699829102,1.8580659627914429,4.951544761657715,2.462096929550171,3.9824814796447754,5.628523826599121
2,1.8974318504333496,234.1564178466797,1.0812232494354248,9.43923282623291,0.9303308129310608,1.7692219018936157,2.2242541313171387,5.6310954093933105,1.4591424465179443,3.3840713500976562,7.917003154754639,2.606780767440796,4.257157802581787,5.929320812225342
3,2.0137126445770264,193.23562622070312,0.983170747756958,9.438495635986328,0.6790091395378113,2.179211139678955,2.5735108852386475,5.4416279792785645,1.9404774904251099,4.112515449523926,7.480777740478516,2.5062923431396484,4.4933295249938965,6.3416643142700195
4,2.1057515144348145,169.1290283203125,1.113793134689331,8.705329895019531,0.6193717122077942,2.413024425506592,3.651855707168579,5.360830783843994,2.7988226413726807,3.6313393115997314,7.046348571777344,2.1871204376220703,5.204829216003418,6.485074520111084
5,2.190541982650757,158.48541259765625,1.5320093631744385,7.163168430328369,0.6794004440307617,2.604172945022583,4.335920333862305,5.183396816253662,3.5996294021606445,3.7105283737182617,8.282413482666016,1.908556580543518,5.625482559204102,6.673196792602539
6,2.272634744644165,159.6354522705078,1.8046271800994873,6.328697204589844,0.6465008854866028,2.4754395484924316,4.99644136428833,5.252783298492432,3.6657087802886963,3.87005615234375,8.492551803588867,1.8981903791427612,5.710460662841797,6.845277786254883
7,2.3612825870513916,175.86228942871094,1.8608205318450928,6.458996772766113,0.6122899055480957,2.339765787124634,5.803493976593018,4.846062660217285,3.0196337699890137,4.147571086883545,7.212667942047119,2.101670742034912,5.5049052238464355,6.141262531280518
8,2.445054769515991,186.71084594726562,1.8819036483764648,6.489880561828613,0.6284789443016052,2.2025177478790283,6.134816646575928,4.441239356994629,2.7988009452819824,4.13791561126709,6.926637172698975,3.0678069591522217,5.520903587341309,5.597733974456787
9,2.527155876159668,179.65191650390625,1.956662654876709,6.415032386779785,0.6112530827522278,2.2019240856170654,6.537484169006348,4.691442966461182,2.9362845420837402,4.479544162750244,7.517214298248291,3.128511428833008,5.76192045211792,5.849548816680908
10,2.6090917587280273,159.61514282226562,1.7495744228363037,5.8045806884765625,0.6139193773269653,2.1814680099487305,6.3480987548828125,5.241498947143555,3.11602520942688,4.7284016609191895,8.834187507629395,2.6095876693725586,5.599218845367432,6.564670562744141
11,2.6914916038513184,149.12197875976562,1.5376174449920654,5.834378242492676,0.7644333243370056,2.1360673904418945,6.102973937988281,5.243750095367432,2.8266990184783936,4.660059452056885,9.731103897094727,2.1628012657165527,5.500247478485107,6.811065196990967
12,2.776337146759033,145.4982452392578,1.2925814390182495,5.980067253112793,0.9359766244888306,2.0498383045196533,5.893068313598633,5.27812385559082,2.528446674346924,4.795993804931641,9.446268081665039,1.7874513864517212,5.466265678405762,6.056096076965332
13,2.8596324920654297,138.7604217529297,1.1584851741790771,6.152336120605469,0.8942599892616272,1.9353995323181152,5.493371963500977,5.127387046813965,2.275498151779175,4.894695281982422,9.44516658782959,1.5658766031265259,5.278779983520508,5.447403430938721
14,2.9466822147369385,126.93762969970703,1.2538478374481201,6.367275238037109,0.8548619151115417,1.8408232927322388,5.2597432136535645,5.119876861572266,2.1446003913879395,5.0708909034729,10.003066062927246,1.435447335243225,4.90631103515625,5.05259895324707
15,3.125575542449951,111.10494232177734,1.5472190380096436,6.306044578552246,0.8847004771232605,1.9547438621520996,5.313769817352295,4.887095928192139,1.8829952478408813,5.343564510345459,10.7194185256958,1.3843845129013062,4.837323188781738,5.5833516120910645
16,3.2826433181762695,104.48149108886719,1.9803258180618286,5.769394874572754,0.8533809781074524,1.860214114189148,5.078550815582275,5.002020359039307,1.7916977405548096,5.696486473083496,10.838594436645508,1.6483012437820435,4.471577167510986,6.246012210845947
17,3.425776720046997,101.4201431274414,2.1966264247894287,5.803962707519531,0.7944943904876709,2.0128800868988037,4.960953712463379,4.593322277069092,1.4847469329833984,5.9444146156311035,10.637335777282715,2.0609841346740723,4.224377155303955,5.812644958496094
